text,label,notes
"Q4_K_M barely moves perplexity on Llama-3-8B — I measured 6.14 vs 6.09 at fp16 on wikitext. The K-quants keep the salient weights in higher precision, which is why the gap is so small.",ANALYSIS,
"Switched llama.cpp -> vLLM on my 3090 and Qwen2.5-7B went from 34 to 61 tok/s at batch 1. Paged attention cuts the KV-cache fragmentation, that's most of the win.",ANALYSIS,
"The MMLU number people keep quoting for this model is the 5-shot CoT score. The 0-shot in the paper's appendix is 8 points lower, so head-to-head with GPT-4 isn't apples to apples.",ANALYSIS,
On a single 24GB card you can't fit 70B at Q4 with any real context — KV cache for 8k ctx alone is ~2.5GB and weights are already ~20GB. You need offload or a second card.,ANALYSIS,
"exl2 at 4.65bpw fits 34B in 24GB with 16k context for me, and quality is basically indistinguishable from 5bpw on my eval set (78% vs 79% on my 50-question rubric).",ANALYSIS,
Speculative decoding with a 1B draft model got me ~1.8x on Llama-3-70B because the draft accepts ~70% of tokens on my workload (mostly code). On creative writing acceptance drops and the speedup nearly vanishes.,ANALYSIS,firsthand + numbers + caveat
"Flash attention 2 isn't supported on P40s — they're Pascal, no bf16 and no FA2 kernels. That's why your 3090 crushes the P40 even at the same VRAM.",ANALYSIS,
Rope scaling to 32k degrades needle-in-haystack recall past ~16k in my tests; retrieval accuracy fell from 95% to ~60% at the far end. The model wasn't trained that long so it's extrapolating.,ANALYSIS,
I ran the same 200 prompts through Gemma-2-9B and Qwen2.5-7B. Qwen won on the coding subset (41/50 vs 33/50) but Gemma was better on the summarization ones (44/50 vs 38/50).,ANALYSIS,
"AWQ vs GPTQ on my setup: AWQ was ~10% faster decode on the 4090 and matched GPTQ on accuracy, because AWQ keeps activation-aware salient channels in fp16 so the kernel stays simpler.",ANALYSIS,
"The reason your tok/s tanks at long context is the KV cache, not the weights. It grows linearly with sequence length, so by 16k you're memory-bandwidth bound. Quantizing the KV cache to Q8 got me back ~20%.",ANALYSIS,
"DeepSeek-V2's MoE only activates 21B of 236B params per token, which is why it runs faster than a dense 70B despite the huge total size — fewer FLOPs per forward pass.",ANALYSIS,
"Tested temperature 0 vs 0.7 on a JSON extraction task: temp 0 gave 49/50 valid JSON, temp 0.7 dropped to 41/50. For structured output low temp is just better, sampling adds nothing.",ANALYSIS,
"Mistral-7B-v0.3 has a 32k context but it's sliding-window attention with a 4k window, so true long-range recall is weaker than the context number suggests. I saw recall drop sharply past 4k.",ANALYSIS,
"My RAG latency was dominated by the embedding step, not the LLM. Switching from a 7B embedder to bge-small (33M) cut retrieval from 800ms to 60ms with no measurable hit to recall@5.",ANALYSIS,
"Llama-3 uses a 128k vocab vs Llama-2's 32k, so it encodes the same text in fewer tokens — I see ~15% fewer tokens on English, which is effectively a free context and speed boost.",ANALYSIS,
"Batching is why vLLM beats llama.cpp on a server: at batch 32 the 4090 stays compute-bound and hits ~2000 tok/s aggregate, while llama.cpp single-stream leaves the GPU idle between tokens.",ANALYSIS,
"I fine-tuned with LoRA rank 16 vs rank 64 on the same 2k examples. Rank 64 overfit (val loss climbed after epoch 2) while rank 16 kept improving. For a small set, lower rank generalized better.",ANALYSIS,
"Q2_K is genuinely bad — perplexity on Llama-3-8B jumped from 6.1 (Q4) to 9.8 (Q2). Below Q3 you're trading away real capability, the model starts dropping instructions.",ANALYSIS,
The 'it's slow on Ollama' complaints are usually because Ollama defaults to a 2048 context and reloads the model on each call. Set num_ctx and keep_alive and most of that disappears — went from 4s to 0.3s overhead for me.,ANALYSIS,
"Phi-3-mini punches above its size on benchmarks because it's trained on heavily filtered 'textbook' data, but I find it brittle on anything off-distribution — it failed 7/10 of my real support tickets while Llama-3-8B handled them.",ANALYSIS,
"Offloading 20 of 33 layers to GPU on a 12GB card got me 11 tok/s on a 13B; full CPU was 2.3. The bottleneck is the CPU<->GPU transfer per token for the offloaded layers, so partial offload has diminishing returns.",ANALYSIS,
"Grouped-query attention is why Llama-3-70B's KV cache is so much smaller than you'd expect — 8 KV heads instead of 64, so the cache is 8x smaller than full multi-head at the same context.",ANALYSIS,
I benchmarked llama.cpp's Q4_0 vs Q4_K_M: K_M was ~5% slower decode but clearly better quality on my reasoning prompts (got 3 more of 20 right). The extra block-wise scales are worth the small speed cost.,ANALYSIS,
"CodeQwen-7B beat DeepSeek-Coder-6.7B on my internal HumanEval-style set (38/40 vs 34/40), but DeepSeek was better at filling in the middle. They were trained with different FIM objectives, which shows.",ANALYSIS,
Setting --n-gpu-layers too high silently spills to shared memory on Windows and tanks speed instead of erroring. I dropped from 33 to 28 layers and tok/s tripled because it stopped paging.,ANALYSIS,
"The reason Q4 quantized models sometimes loop is that quantization flattens the logit distribution slightly, so with greedy decoding ties resolve to repeats. A small repetition penalty (1.1) fixed it for me.",ANALYSIS,
Yi-34B's long-context claim held up better than most in my testing — it actually recalled facts at 32k (90%+) where a lot of 'long context' models collapse. They continued pretraining at length rather than just rope-scaling.,ANALYSIS,
